order_id,datetime,day_of_week,item,quantity,unit_price,total
1,2025-01-01 11:00:14,Wednesday,Toast,1,70.0,70.0
2,2025-01-01 11:00:55,Wednesday,Toast,1,70.0,70.0
3,2025-01-01 11:07:15,Wednesday,Toast,1,70.0,70.0
4,2025-01-01 11:09:48,Wednesday,Toast,1,70.0,70.0
6,2025-01-01 11:10:09,Wednesday,Toast,1,70.0,70.0
5,2025-01-01 11:10:35,Wednesday,Toast,1,70.0,70.0
7,2025-01-01 11:17:14,Wednesday,Toast,1,70.0,70.0
8,2025-01-01 11:21:25,Wednesday,Toast,1,70.0,70.0
9,2025-01-01 11:23:45,Wednesday,Toast,1,70.0,70.0
10,2025-01-01 11:27:39,Wednesday,Toast,1,70.0,70.0
11,2025-01-01 11:28:28,Wednesday,Toast,1,70.0,70.0
12,2025-01-01 11:29:28,Wednesday,Toast,1,70.0,70.0
13,2025-01-01 11:30:21,Wednesday,Toast,1,70.0,70.0
14,2025-01-01 11:32:20,Wednesday,Toast,1,70.0,70.0
15,2025-01-01 11:33:15,Wednesday,Toast,1,70.0,70.0
16,2025-01-01 11:37:10,Wednesday,Toast,1,70.0,70.0
17,2025-01-01 11:39:24,Wednesday,Toast,1,70.0,70.0
18,2025-01-01 11:41:37,Wednesday,Toast,1,70.0,70.0
19,2025-01-01 11:42:32,Wednesday,Toast,1,70.0,70.0
21,2025-01-01 11:43:22,Wednesday,Toast,2,70.0,140.0
20,2025-01-01 11:43:54,Wednesday,Toast,1,70.0,70.0
23,2025-01-01 11:45:06,Wednesday,Toast,1,70.0,70.0
22,2025-01-01 11:45:38,Wednesday,Toast,1,70.0,70.0
24,2025-01-01 11:46:01,Wednesday,Toast,1,70.0,70.0
25,2025-01-01 11:47:17,Wednesday,Toast,1,70.0,70.0
28,2025-01-01 11:51:07,Wednesday,Toast,1,70.0,70.0
26,2025-01-01 11:51:21,Wednesday,Toast,1,70.0,70.0
27,2025-01-01 11:51:39,Wednesday,Toast,1,70.0,70.0
29,2025-01-01 11:52:37,Wednesday,Toast,1,70.0,70.0
30,2025-01-01 11:53:57,Wednesday,Toast,1,70.0,70.0
31,2025-01-01 11:54:32,Wednesday,Toast,1,70.0,70.0
33,2025-01-01 11:55:06,Wednesday,Toast,1,70.0,70.0
32,2025-01-01 11:55:52,Wednesday,Toast,1,70.0,70.0
34,2025-01-01 11:56:21,Wednesday,Toast,1,70.0,70.0
35,2025-01-01 11:57:01,Wednesday,Toast,1,70.0,70.0
36,2025-01-01 11:59:23,Wednesday,Toast,1,70.0,70.0
37,2025-01-01 12:00:02,Wednesday,Toast,1,70.0,70.0
39,2025-01-01 12:03:08,Wednesday,Toast,1,70.0,70.0
38,2025-01-01 12:03:12,Wednesday,Toast,1,70.0,70.0
40,2025-01-01 12:04:27,Wednesday,Toast,1,70.0,70.0
41,2025-01-01 12:05:49,Wednesday,Toast,2,70.0,140.0
42,2025-01-01 12:06:36,Wednesday,Toast,1,70.0,70.0
43,2025-01-01 12:06:56,Wednesday,Toast,1,70.0,70.0
44,2025-01-01 12:07:04,Wednesday,Toast,1,70.0,70.0
45,2025-01-01 12:07:44,Wednesday,Toast,1,70.0,70.0
46,2025-01-01 12:08:09,Wednesday,Toast,1,70.0,70.0
47,2025-01-01 12:15:53,Wednesday,Toast,2,70.0,140.0
48,2025-01-01 12:16:52,Wednesday,Toast,1,70.0,70.0
49,2025-01-01 12:17:28,Wednesday,Toast,3,70.0,210.0
50,2025-01-01 12:18:10,Wednesday,Toast,1,70.0,70.0
51,2025-01-01 12:19:10,Wednesday,Toast,1,70.0,70.0
52,2025-01-01 12:20:41,Wednesday,Toast,1,70.0,70.0
54,2025-01-01 12:20:49,Wednesday,Toast,1,70.0,70.0
53,2025-01-01 12:20:51,Wednesday,Toast,1,70.0,70.0
55,2025-01-01 12:21:22,Wednesday,Toast,1,70.0,70.0
56,2025-01-01 12:24:04,Wednesday,Toast,1,70.0,70.0
57,2025-01-01 12:25:11,Wednesday,Toast,1,70.0,70.0
58,2025-01-01 12:26:52,Wednesday,Toast,1,70.0,70.0
59,2025-01-01 12:27:16,Wednesday,Toast,1,70.0,70.0
60,2025-01-01 12:27:45,Wednesday,Toast,1,70.0,70.0
61,2025-01-01 12:28:32,Wednesday,Toast,1,70.0,70.0
62,2025-01-01 12:29:02,Wednesday,Toast,1,70.0,70.0
63,2025-01-01 12:30:49,Wednesday,Toast,1,70.0,70.0
64,2025-01-01 12:30:53,Wednesday,Toast,1,70.0,70.0
65,2025-01-01 12:31:15,Wednesday,Toast,1,70.0,70.0
66,2025-01-01 12:31:55,Wednesday,Toast,2,70.0,140.0
67,2025-01-01 12:32:25,Wednesday,Toast,1,70.0,70.0
68,2025-01-01 12:36:15,Wednesday,Toast,1,70.0,70.0
69,2025-01-01 12:37:05,Wednesday,Toast,1,70.0,70.0
70,2025-01-01 12:40:13,Wednesday,Toast,1,70.0,70.0
71,2025-01-01 12:41:57,Wednesday,Toast,1,70.0,70.0
72,2025-01-01 12:44:53,Wednesday,Toast,1,70.0,70.0
73,2025-01-01 12:45:27,Wednesday,Toast,1,70.0,70.0
74,2025-01-01 12:49:05,Wednesday,Toast,1,70.0,70.0
75,2025-01-01 12:56:32,Wednesday,Toast,1,70.0,70.0
76,2025-01-01 12:56:51,Wednesday,Toast,1,70.0,70.0
